name,brand,2G,3G,4G,5G,Announced,Status,Weight,Length,Width,Diameter,SIM,Display Type,Display Size,PPI,Body Ratio,OS,Battery_capacity,Price,CPU,Ratio,Pixel,WLAN,Colors,Sensors,Bluetooth,GPU,LoudSpeaker,3.5mm jack,Chipset,Network,Internal,Card slot,RAM,Storage
Z530,Sony,False,False,False,False,"2006, February",Discontinued,93 g (3.28 oz),90,47,24 mm (3.54,Mini-SIM,"UBC, 65K colors","1.8 inches, 28 x 35 mm, 10.2 cm2(~24.1% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),24.1%,,Removable Li-Ion 900 mAh battery (BST-33),About 90 EUR,,128 x 160 pixels (~114 ppi density),114 ppi density),No,"Soft Black, Chromic Grey, Elegant Red",,Yes,,True,False,,GSM,,,,
P990,Sony,False,False,False,False,"2005, Q4",Discontinued,150 g (5.29 oz),114,57,26 mm (4.49,,"TFT resistive touchscreen, 256K colors","2.7 inches, 41 x 56 mm, 22.6 cm2(~34.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~148 ppi density)",34.7%,"Symbian 9.1, UIQ 3.0",Removable Li-Ion battery,About 220 EUR,,"240 x 320 pixels, 4:3 ratio (~148 ppi density)",148 ppi density),Wi-Fi 802.11b,Premium Silver,,"2.0, A2DP",,True,False,,GSM / UMTS,,,64MB RAM,64MB RAM
K510,Sony,False,False,False,False,"2006, February",Discontinued,82 g (2.89 oz),101,44,17 mm (3.98,Mini-SIM,"TFT, 256K colors","1.8 inches, 28 x 35 mm, 10.2 cm2(~22.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),22.9%,,Removable Li-Ion 750 mAh battery (BST-36),About 80 EUR,,128 x 160 pixels (~114 ppi density),114 ppi density),No,"Midnight Black, Polished Purple",,Yes,,False,False,,GSM,,,,
K310,Sony,False,False,False,False,"2006, February",Discontinued,82 g (2.89 oz),101,44,17 mm (3.98,Mini-SIM,"UBC, 65K colors","1.74 inches, 9.5 cm2(~21.4% screen-to-body ratio)",128 x 160 pixels (~118 ppi density),21.4%,,Removable Li-Ion battery,About 80 EUR,,128 x 160 pixels (~118 ppi density),118 ppi density),No,"Shadow Blue, Misty Silver",,No,,False,False,,GSM,,,,
W950,Sony,False,False,False,False,"2006, February",Discontinued,112 g (3.95 oz),106,54,15 mm (4.17,Mini-SIM,"TFT resistive touchscreen, 256K colors","2.6 inches, 39 x 53 mm, 20.9 cm2(~36.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)",36.6%,"Symbian 9.1, UIQ 3.0",Removable Li-Ion 900 mAh battery (BST-33),About 180 EUR,,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",154 ppi density),No,Mystic purple,,"2.0, A2DP",,True,False,,GSM / UMTS,,,,
M600,Sony,False,False,False,False,"2006, February",Discontinued,112 g (3.95 oz),105,54,15 mm (4.13,,"TFT resistive touchscreen, 256K colors","2.6 inches, 39 x 53 mm, 20.9 cm2(~36.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)",36.9%,"Symbian 9.1, UIQ 3.0",Removable Li-Po 900 mAh battery (BST-33),About 130 EUR,,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",154 ppi density),No,"Granite Black, Crystal White",,"2.0, A2DP",,False,False,,GSM / UMTS,,,,
M608,Sony,False,False,False,False,"2006, May",Discontinued,112 g (3.95 oz),107,57,15 mm (4.21,,"TFT resistive touchscreen, 256K colors","2.6 inches, 39 x 53 mm, 20.9 cm2(~34.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)",34.3%,"Symbian 9.1, UIQ 3.0",Removable Li-Ion battery,About 120 EUR,,"240 x 320 pixels, 4:3 ratio (~154 ppi density)",154 ppi density),No,"Granite Black, Crystal White",,"2.0, A2DP",,False,False,,GSM,,,,
K610,Sony,False,False,False,False,"2006, February",Discontinued,89 g (3.14 oz),102,45.2,16.9 mm (4.02,Mini-SIM,"TFT, 256K colors","1.9 inches, 30 x 37 mm, 11.4 cm2(~24.6% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),24.6%,,Removable Li-Po 900 mAh battery (BST-37),About 110 EUR,,176 x 220 pixels (~148 ppi density),148 ppi density),No,"Evening Red, Urban Silver, Misty White",,"2.0, A2DP",,True,False,,GSM / UMTS,,,,
J100,Sony,False,False,False,False,"2006, February",Discontinued,79 g (2.79 oz),100,44,18 mm (3.94,Mini-SIM,"STN, 65K colors","1.4 inches, 5.8 cm2(~13.3% screen-to-body ratio)","96 x 64 pixels, 3:2 ratio (~82 ppi density)",13.3%,,Removable Li-Ion battery,About 40 EUR,,"96 x 64 pixels, 3:2 ratio (~82 ppi density)",82 ppi density),No,"2 -  Polar White, Twilight Blue",,No,,False,False,,GSM,,,,
W810,Sony,False,False,False,False,"2006, Q1",Discontinued,99 g (3.49 oz),100,46,19.5 mm (3.94,Mini-SIM,"TFT, 256K colors","1.9 inches, 30 x 38 mm, 11.4 cm2(~24.7% screen-to-body ratio)",176 x 220 pixels (~148 ppi density),24.7%,,Removable Li-Po 900 mAh battery (BST-37),About 130 EUR,,176 x 220 pixels (~148 ppi density),148 ppi density),No,"Satin Black, Fusion White",,2.0,,True,False,,GSM,,,,
